"","conMw1","conMw2","conMw3","conFw1","conFw2","conFw3","dietMw1","dietMw2","dietMw3","dietFw1","dietFw2","dietFw3","conMko1","conMko2","conMko3","conFko1","conFko2","conFko3","dietMko1","dietMko2","dietMko3","dietFko1","dietFko2","dietFko3"
"Sult2a2",2.26100217730066,2.8500358214647,2.16712701568465,9.84342041209884,8.84668280093737,9.80020397174614,2.97990649451748,2.31728130522474,3.11625011768574,9.25617878971346,10.5215855892831,9.64349042695602,2.87177126193874,2.00289888251014,2.99264829039998,9.6949767001585,10.1894783255817,9.38959337814859,2.26454430105165,2.55635864997583,3.49408987542733,9.86652025718016,9.7917490427516,9.96133498811164
"Gm4450",4.7201557048326,5.33903670784164,5.38180455721897,4.00161961416035,3.56840605176012,3.94412428969908,4.11872633045625,4.11334725393628,3.73592933163015,3.5500595337256,3.24665218090332,3.08140075059583,4.18239408687829,5.82455015107958,4.77456211310729,3.56625321082144,2.85272895578946,3.64889995104336,3.57453749502908,3.75778701508059,3.64549606836397,2.89189654091685,3.01968419287819,3.66130104803463
"Snord19",5.01217910993006,5.01782185152176,5.04025512802445,3.23101479764841,3.25841055198551,2.68414643111869,3.95203674442588,4.94506901757688,5.06289292911789,5.05064609657525,4.69449395152362,4.53947187068325,4.26234192352918,4.52175274872844,4.13029199118537,3.88461943588521,3.68833671462251,4.03271843571187,4.48988319850819,4.54744521802788,4.84088621742539,4.01857210897911,4.02458811938715,4.49420008899782
"Snord66",8.38345166888859,8.25127036112979,8.30991411520588,8.10285129992212,7.75103106928341,7.98113639969624,6.64223867734307,7.43220638806231,7.58483118522654,7.6737210239467,7.36893075805225,7.4267383495023,8.63430907589906,8.15267650842375,8.17383436639347,8.26280450743617,7.99614065017189,8.08256489383839,7.54327532536812,7.97519644883692,7.58554882150847,6.57732086459688,6.74155196144445,7.28873454831929
"Snord12",7.78886326098345,8.10859999986529,7.63661782778835,7.21378720709975,7.33795925295476,6.68843140107593,7.28649193935714,7.82405495750078,7.54474253612899,7.65173668124301,6.99243883875882,7.12048270455981,7.91365707853393,7.75300726437457,7.56583466026365,7.25599262941183,7.07635435883718,7.46409213964236,7.92090370485323,8.21619708578909,7.81570373628135,6.49059865160789,6.69064938009622,7.30980359632486
"Snord37",5.68101661949247,5.90146991574632,5.05292051704196,5.21025295473719,4.81652668747475,5.0080328759713,3.76529514823215,4.41398575218416,3.76553385514939,4.35887532313256,4.69690363252303,3.4143457808604,4.75411473636258,4.69241085397166,5.0080328759713,4.81251440261065,4.55590461831635,4.48670814928686,4.99062081274447,4.47435332097738,4.63531203154382,4.03811775036816,3.40406724360985,3.89606882022303
"Snord43",4.19647359116491,3.69453859722578,3.6538830890364,3.80919953260648,3.36392035436271,3.70078584473908,3.14809816865481,4.08157213524874,3.57180023628311,3.66801742409711,4.02721277447843,3.56622547671391,3.5606672741369,3.87784694952847,3.50745611714508,3.42077478511324,3.52222720078043,3.42077478511324,4.28068792857827,4.33552729678845,4.55294026246554,3.12760388830354,3.45962296463867,3.33257931900959
"Mir1948",5.52277595002396,5.23707105108269,4.67582995662272,3.57924105208348,3.70955160810243,3.36957149770235,3.19534359888277,3.63120493895955,3.16505685977181,4.96280924157574,4.91883198208975,3.08154530759358,4.3233389923881,5.09444831266661,3.44060024031142,4.39280718467698,3.05798662452797,3.16124609442621,2.58379507096297,3.78038793920231,3.83491967364991,3.14600274357986,3.50173723762006,3.5879916168524
"Gm16551",5.12662195336376,5.0248641564556,4.96492795888054,4.36574271598951,4.49533950588831,4.49647254977955,3.72278087640885,3.78700942197548,3.70120569024987,3.52838633429887,3.50303065988838,3.48466203962036,4.44742517999894,4.68074104477979,5.1074236397659,4.54522343768107,4.22852928856813,4.66492562996367,3.83149627573634,3.84238459443482,3.81727618130707,3.62464225075134,3.83329614409402,3.767634300971
"Gm19619",3.15765251389579,3.84291532931109,3.98345423407512,3.7303993702857,4.19036690745682,3.62689990601508,4.99834471247645,5.46139420453035,4.59076368289115,5.61615097722476,4.44877695826274,5.22361703584621,3.99558061808331,4.18394153586909,4.16782778765527,3.62238477470818,3.89452545953022,3.63511897299148,5.67048845162171,5.43153303569088,5.24916431568394,4.8242888293367,4.9382902821991,4.68221125735631
"Gdap10",4.55956666417927,4.57919483958135,5.16447442533868,5.02633634189853,4.59619655719231,4.73935069999516,4.75592707199695,4.11514619156463,4.21071308947995,5.90269170428108,5.80898518584637,4.91177934696105,4.46143358618041,4.53498487028067,4.64971411009315,5.21252073462501,4.10718173872221,4.59390107987965,4.25971564682568,4.49957124911253,4.38628400026494,4.89828546412759,4.57503297055636,4.9513017331451
"Gm20319",8.42061219791352,8.39719767832403,8.25971628921472,7.77521630770937,8.08712096959242,7.42523855318041,7.18479446399756,7.42338416895076,7.22754880983974,7.01218788379665,7.61664400639185,6.71929904527943,8.14558654186757,8.23989346028521,7.93336969252637,7.57333730360586,7.60680945918523,7.80740029831284,7.18252748739183,7.37465701522025,7.46374668535719,7.18804435496525,6.70221086049237,6.9200325673051
"Ugt2b38",4.75912356792201,5.55723520873732,5.35562409359004,1.5877004982033,1.44068807009782,1.21850255127136,3.22171021745447,1.89024944483613,1.57898669619959,1.68176226363577,1.33830019898927,1.30292580249976,6.11214697339499,4.3077300932939,3.10977050249827,1.86519867388634,1.34129466434198,2.52072459966905,1.80248502515043,1.78564602965598,1.75549974429703,1.37997015517465,0.946198827137029,1.36888165142975
