"","conMw1","conMw2","conMw3","conFw1","conFw2","conFw3","dietMw1","dietMw2","dietMw3","dietFw1","dietFw2","dietFw3","conMko1","conMko2","conMko3","conFko1","conFko2","conFko3","dietMko1","dietMko2","dietMko3","dietFko1","dietFko2","dietFko3"
"17432514",1.5008948661087,1.68407505826616,1.53999158626927,3.07636597486894,2.63579771818353,1.76336737739489,2.38608055021694,2.07027499077536,2.40632950361549,2.03845262075406,2.35521348859764,2.42069016281365,1.80721286974229,2.50670667266713,2.71984895562475,1.68727913233635,1.88287794839922,2.1857999631757,1.98076731354959,1.88351393649964,2.13320647343408,2.22327141319612,1.79808839952357,2.39055270921675
"17412418",5.20109066149296,5.0538412886253,4.98111511034419,5.36520705438813,5.06816585199961,4.91530009242566,5.79152157346001,5.12870727551759,5.30717748535724,5.61359127121105,5.58009553891523,5.66770154898161,4.87678779564692,5.21600346658897,4.82677276507881,5.21992457287561,4.65277467248209,4.501271542833,5.7043131404039,5.26818479098458,5.54954083304342,5.64368108938489,5.11096588706325,5.16082619356139
"17219670",2.2381711757805,1.84568702529758,1.6314144970764,2.1857999631757,1.64359202649164,1.94290798830246,2.37572054178248,1.97024060516905,2.13097087845195,2.37572054178248,2.01790420910034,2.20465658956986,1.30526433112585,1.12684872925813,1.66657594235582,3.44465892562863,2.72227571842529,2.18970665934958,1.66657594235582,1.76346860461415,2.01682745675174,2.04355084208482,2.41544256683814,1.84917818684803
"17254289",6.42251857263364,6.3190088990472,6.56629592950119,6.61978544873681,6.65228904740901,6.65523985222514,6.5493900685658,7.14987863659952,6.7206316709241,7.00834446607005,7.44574727109285,7.47031951298357,6.95480643106798,6.5975533458094,6.74541659178548,7.25070892797357,6.93938972478755,6.9336058689665,7.06027977021901,7.04319967078504,7.10171399552191,7.40712284014308,7.35591664196388,6.83985470551797
"17390614",2.21753296749439,2.98497110711082,2.93900361466929,3.57632181065039,2.45744199236447,2.5644688768662,3.55578568246129,2.32833847799409,3.08989154521342,3.14142322717348,3.46183859646304,3.19310335911421,3.11570206848066,2.77890103134721,3.36442137484281,3.21762843872472,3.56308494389047,2.68928769276047,3.0742115219229,2.61001536777349,2.9818549405915,2.95489147784635,3.31429800717567,3.12620151786583
"17330168",1.7639223598222,1.75134541848649,1.58252925806659,2.56801302228545,2.04860352227903,1.88043657113811,2.22518777835359,2.57557552080281,1.93122310308174,1.66041758612988,1.40098035357761,2.10701457205733,1.98851440876201,1.52380064978262,2.18140668882926,1.79494008385092,2.27513434516874,1.67000573369668,1.65937779755507,1.46988841298408,1.85982719139243,1.44349308855354,1.92083953313364,2.01044455237228
"17380749",3.59120942218808,4.04404212650054,4.20660074421982,4.15873054081815,3.49223985487016,3.65791174911668,3.50009289532937,3.41681081119841,4.09319115660495,3.37841858832817,3.91561464890876,3.45452850581559,4.10093210198205,3.71081850026323,3.77113240478069,3.85764897138679,3.83256178760504,4.1488188851223,3.51091789284269,3.74804090300774,3.69472472482956,3.76783665525205,3.75402091115429,4.04422922244346
"17271237",3.16746599674267,3.08352736849037,3.61393120740913,2.95769417377248,3.24362829085811,3.53662025789418,3.11932462136136,3.01989072238476,3.50523085627135,2.82983248932174,3.24293550337178,2.95673117698231,3.99978664700266,3.51500627193364,3.26689168634361,3.00611896282908,3.40420035454389,2.66748396584171,3.25876663140426,3.45318394330589,2.9388942887032,3.49263241752517,3.42219683469753,3.37217274052771
"17225627",2.53083368332016,2.9526981013816,3.19198771164724,3.1115023156483,2.40912669733539,2.81127323220376,2.70413138603678,2.88796560670564,2.69085171864813,2.76272319555211,2.31206450361456,2.82686508657471,3.13462650088769,2.73559720632725,2.72770873956022,2.64013932068529,3.1940225547933,2.62132944415368,3.31852662046929,2.51827097922919,3.04683300304031,3.3698340997007,2.82744023768391,2.89258277443021
"17340631",5.92831980768243,5.90176428201435,5.5777260628236,6.15929185384107,6.48085079623036,6.30198860220851,5.28500947327771,6.30312014858884,6.22045397956596,5.60762222318489,6.20269457744005,6.15187590235835,6.02363405050736,5.84173280092884,6.12716007665119,5.91786917739701,5.90464698274053,5.75637438414843,6.06185276207289,5.63272235388416,5.76726684403725,5.84611869332876,6.05559540463498,5.41974882765698
"17479183",5.26475949469904,5.34190377700182,5.65502525475691,5.08095897122589,5.2750779230233,4.92913519733137,4.67890126906046,5.20620036878344,5.36292811229851,5.40924628161872,4.87500143905323,5.3712551143409,5.46684826864374,5.4955323144831,5.69071286643362,5.11554157873953,5.48280713914016,5.47052459152611,5.14200887724062,4.79193490912462,5.43470571753827,4.86406363505825,4.78312693560956,5.28602046222273
"17492897",2.1335249384854,1.89159806022173,1.97709383609938,2.46399761817021,2.02095953427069,2.50393394848469,2.17661456370966,2.34833748779872,2.58324786334091,2.04573280480736,1.98131385536058,2.20104646774066,2.46388513844967,2.46399761817021,2.42820600215664,2.28287717633779,2.0087114278428,2.29251381873569,2.09977545605833,2.32372339063001,1.98929868415835,2.47281448156171,2.30394534635461,1.99103719668435
"17348145",2.02007310875938,2.34052095246119,2.36331700133004,2.74252485885216,2.38611611074807,2.45724706736345,2.09278017826178,2.65412394404369,2.29407172342914,2.01306288753547,2.62524938554232,2.05459085630034,2.48872673994081,2.35016718646938,2.9033738862121,2.03579268510931,2.41234384885771,2.31340896545111,2.04827915069338,2.63418114078193,1.99400577072649,1.99172069924055,2.06124315498345,2.38750577241799
